word
a
able
about
above
according
across
act
action
add
addition
afraid
after
afternoon
again
against
age
ago
ahead
air
airplane
airport
alive
all
almost
along
already
also
although
always
am
America
American
among
amount
an
ancient
and
angry
animal
another
answer
any
anyone
anything
apart
appear
apple
are
area
arm
army
around
arrive
art
as
ask
at
ate
attention
aunt
average
away
awhile
